City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,westport,41.1415,-73.3579,287.02,64,75,5.66,US,1731284509
187,goundam,16.4145,-3.6708,298.42,14,29,4.35,ML,1731284510
188,queenstown,-31.8976,26.8753,285.64,91,100,1.94,ZA,1731284512
189,novo aripuana,-5.1206,-60.3797,301.43,69,72,1.81,BR,1731284513
190,minas de marcona,-15.2119,-75.1103,288.35,79,6,5.17,PE,1731284514
191,hinis,39.3606,41.7022,275.41,48,93,0.4,TR,1731284515
192,kismayo,-0.3582,42.5454,299.48,82,94,3.91,SO,1731284516
193,maralal,1.0968,36.698,288.61,79,85,2.45,KE,1731284518
194,coahuayana de hidalgo,18.7,-103.6583,299.85,78,45,1.48,MX,1731284519
195,wailua homesteads,22.0669,-159.378,299.59,80,40,6.17,US,1731284520
196,pervomayskiy,53.2485,40.2871,273.26,93,11,2.17,RU,1731284521
197,mugia,43.1041,-9.2179,288.66,93,84,3.37,ES,1731284522
198,port isabel,26.0734,-97.2086,299.27,84,0,4.47,US,1731284524
199,cidreira,-30.1811,-50.2056,293.93,77,0,9.72,BR,1731284525
200,isafjordur,66.0755,-23.124,276.31,83,93,12.35,IS,1731284295
201,yarumal,6.9632,-75.4174,284.06,99,99,0.66,CO,1731284527
202,maebaru-chuo,33.55,130.2,290.97,87,100,3.35,JP,1731284528
203,tolanaro,-25.0319,46.9987,298.19,78,0,6.17,MG,1731284408
204,qazvin,36.2797,50.0049,285.23,43,12,0.54,IR,1731284531
205,borazjan,29.2666,51.2159,299.05,38,100,3.38,IR,1731284532
206,chonchi,-42.6128,-73.8092,282.1,90,22,1.81,CL,1731284292
207,harstad,68.799,16.5293,280.16,88,82,2.67,NO,1731284534
208,vanino,49.0869,140.2543,272.79,56,4,6.71,RU,1731284537
209,itoman,26.1247,127.6694,300.36,83,75,4.12,JP,1731284457
210,carnarvon,-24.8667,113.6333,294.9,59,74,11.03,AU,1731284539
211,san pedro pochutla,15.7333,-96.4667,301.32,88,44,1.57,MX,1731284540
212,quellon,-43.1167,-73.6167,280.33,87,44,3.46,CL,1731284541
213,atafu village,-8.5421,-172.5159,301.29,71,67,3.36,TK,1731284543
214,itaituba,-4.2761,-55.9836,303.63,34,87,1.16,BR,1731284544
215,lompoc,34.6391,-120.4579,292.0,64,0,3.6,US,1731284545
216,rakops,-21.0167,24.3333,297.65,57,100,3.12,BW,1731284548
217,cabo san lucas,22.8909,-109.9124,299.32,58,0,4.12,MX,1731284550
218,tarko-sale,64.9225,77.785,266.12,95,100,7.07,RU,1731284551
219,cukai,4.25,103.4167,298.8,89,99,1.32,MY,1731284552
220,la asuncion,11.0333,-63.8628,303.0,70,52,4.12,VE,1731284554
221,salinopolis,-0.6136,-47.3561,300.24,80,61,5.96,BR,1731284555
222,cave spring,37.2276,-80.0128,285.62,94,100,2.57,US,1731284556
223,zouerate,22.7187,-12.4521,296.65,19,0,2.58,MR,1731284557
224,howrah,22.5892,88.3103,296.15,83,40,3.09,IN,1731284561
225,vilyuchinsk,52.9306,158.4028,269.3,95,100,1.82,RU,1731284486
226,jiazi,22.8779,116.067,295.86,79,51,4.11,CN,1731284563
227,antsiranana,-12.2787,49.2917,298.68,80,28,5.72,MG,1731284565
228,santana,-0.0583,-51.1817,302.25,74,0,4.63,BR,1731284566
229,altus,34.6381,-99.334,291.07,56,0,1.54,US,1731284567
230,taltal,-25.4,-70.4833,291.13,79,57,1.43,CL,1731284568
231,ravenna,44.4167,11.9833,282.09,95,0,2.04,IT,1731284569
232,saint-philippe,-21.3585,55.7679,297.07,88,36,4.75,RE,1731284571
233,dalandzadgad,43.5708,104.425,274.41,29,0,3.95,MN,1731284572
234,hereford,52.0568,-2.7148,285.93,96,87,1.4,GB,1731284573
235,newman,37.3138,-121.0208,294.29,38,17,0.89,US,1731284375
236,vila franca do campo,37.7167,-25.4333,293.38,99,90,5.04,PT,1731284539
237,nemuro,43.3236,145.575,285.68,81,100,7.36,JP,1731284577
238,papao,-17.75,-149.55,301.97,89,99,8.54,PF,1731284578
239,yung shue wan,22.2333,114.1167,298.83,74,34,0.89,HK,1731284579
240,argo,37.6333,22.7333,282.98,77,28,2.08,GR,1731284580
241,birao,10.2849,22.7882,297.77,30,96,2.5,CF,1731284581
242,raduzhny,62.0961,77.475,260.74,97,82,1.73,RU,1731284582
243,gogrial,8.5332,28.1004,296.95,78,70,3.63,SS,1731284584
244,minas,-34.3759,-55.2377,290.5,76,43,3.55,UY,1731284585
245,hovd,48.0056,91.6419,269.25,45,28,3.76,MN,1731284586
246,freetown,8.484,-13.2299,300.15,79,2,1.36,SL,1731284587
247,takum,7.2667,9.9833,295.51,51,22,1.66,NG,1731284589
248,yunyang,33.4474,112.7142,288.38,82,41,2.36,CN,1731284590
249,nova vicosa,-17.8919,-39.3719,297.07,81,62,6.0,BR,1731284591
250,prince rupert,54.3161,-130.3201,281.98,76,100,14.92,CA,1731284592
251,ocara,-4.4908,-38.5967,296.89,80,92,3.83,BR,1731284593
252,shingu,33.7333,135.9833,291.51,88,100,1.1,JP,1731284595
253,mount gambier,-37.8333,140.7667,288.92,56,42,2.41,AU,1731284396
254,muynoq,43.7683,59.0214,281.59,80,84,4.6,UZ,1731284597
255,sirte,31.2089,16.5887,293.51,72,100,2.18,LY,1731284598
256,kyosai,34.8503,128.5886,286.99,75,0,2.98,KR,1731284599
257,qarqaraly,49.4058,75.4742,271.68,94,100,9.42,KZ,1731284601
258,zavodskoy,43.4597,132.2922,276.92,48,4,2.0,RU,1731284602
259,conception bay south,47.4999,-52.9981,275.78,74,11,9.2,CA,1731284603
260,bengkulu,-3.8004,102.2655,298.29,88,65,1.46,ID,1731284604
261,volchikha,52.0333,80.3833,273.33,97,100,7.35,RU,1731284605
262,redencao,-4.2258,-38.7306,296.17,88,88,2.3,BR,1731284607
263,geneina,13.45,22.45,296.07,27,91,7.86,SD,1731284608
264,kitakami,39.2833,141.1167,281.34,100,40,1.54,JP,1731284569
265,bellavista,-7.0561,-76.5911,298.51,75,65,0.57,PE,1731284610
266,constantia,44.1833,28.65,278.53,77,99,9.15,RO,1731284611
267,waimea,20.0231,-155.6717,295.07,81,17,3.13,US,1731284613
268,sitka,57.0531,-135.33,282.09,57,75,7.2,US,1731284382
269,la passe,45.5549,-0.8967,288.37,68,100,3.99,FR,1731284615
270,mount pearl,47.5166,-52.7813,275.45,74,20,12.86,CA,1731284616
271,sechura,-5.5569,-80.8222,293.05,77,93,6.85,PE,1731284617
272,happy valley-goose bay,53.3168,-60.3315,275.32,69,40,3.6,CA,1731284619
273,nuku'alofa,-21.1333,-175.2,299.34,83,75,7.72,TO,1731284595
274,langepas,61.2544,75.2124,263.77,93,100,7.2,RU,1731284621
275,port macquarie,-31.4333,152.9167,297.08,72,100,0.89,AU,1731284496
276,hanawa,40.1836,140.7872,285.82,57,3,1.72,JP,1731284623
277,cole harbour,44.6724,-63.4751,279.22,66,13,4.63,CA,1731284625
278,bridgewater,44.3835,-64.5155,278.97,74,29,3.09,CA,1731284626
279,mareeba,-17.0,145.4333,303.84,53,12,4.56,AU,1731284627
280,filadelfia,39.9523,-75.1638,287.29,73,100,3.09,US,1731284628
281,sola,-13.8833,167.55,302.52,70,75,3.09,VU,1731284629
282,bay harbor,30.1471,-85.6146,297.56,87,83,0.89,US,1731284631
283,sakaiminato,35.55,133.2333,288.14,100,75,2.06,JP,1731284632
284,trujillo,-8.116,-79.03,291.13,88,75,2.57,PE,1731284633
285,lahad datu,5.0268,118.327,300.5,80,97,1.77,MY,1731284635
286,berdigestyakh,62.0989,126.6992,252.55,100,97,1.26,RU,1731284637
287,los banos,14.1667,121.1833,300.19,86,100,3.31,PH,1731284638
288,puerto baquerizo moreno,-0.9,-89.6,294.12,72,87,4.82,EC,1731284639
289,santa ana,33.7456,-117.8678,296.99,37,20,2.57,US,1731284489
290,majuro,7.0897,171.3803,301.13,89,100,4.12,MH,1731284641
291,mossel bay,-34.1831,22.146,287.11,83,43,4.38,ZA,1731284642
292,igarka,67.4667,86.5833,260.56,91,100,4.4,RU,1731284644
293,kruisfontein,-34.0033,24.7314,285.46,87,42,1.62,ZA,1731284645
294,ardestan,33.3761,52.3694,286.39,40,64,1.23,IR,1731284646
295,darhan,49.4867,105.9228,270.37,50,23,3.43,MN,1731284647
296,kryvyi rih,47.9167,33.35,276.51,75,4,2.92,UA,1731284648
297,kavaratti,10.5669,72.642,301.19,72,43,3.31,IN,1731284650
298,rio grande,-32.035,-52.0986,292.32,79,0,7.33,BR,1731284606
299,bhamo,24.2667,97.2333,294.58,81,99,0.32,MM,1731284652
300,konstantinovka,49.6167,127.9833,269.91,61,67,0.84,RU,1731284653
301,byron bay,-28.65,153.6167,298.53,76,98,3.98,AU,1731284440
302,kilindoni,-7.9139,39.6668,299.69,76,2,5.41,TZ,1731284656
303,hithadhoo,-0.6,73.0833,301.18,72,89,5.93,MV,1731284657
304,meadow lake,34.8014,-106.5436,283.03,59,1,0.97,US,1731284658
305,mocoa,1.1493,-76.6466,293.46,97,93,1.78,CO,1731284659
306,st. john's,47.5649,-52.7093,275.91,73,20,12.86,CA,1731284435
307,al bawiti,28.3492,28.8659,289.04,50,2,1.85,EG,1731284662
308,lubango,-14.9172,13.4925,290.07,94,89,2.06,AO,1731284663
309,whitehorse,60.7161,-135.0538,272.58,80,75,5.66,CA,1731284664
310,sao joaquim,-28.2939,-49.9317,285.54,95,0,1.57,BR,1731284665
311,nguigmi,14.2495,13.1092,296.48,27,99,4.62,NE,1731284666
312,kukawa,12.9234,13.5606,296.7,48,98,3.99,NG,1731284669
313,wagini,12.6878,7.1958,293.08,25,63,4.0,NG,1731284670
314,porto novo,6.4965,2.6036,300.05,83,41,1.95,BJ,1731284671
315,vila velha,-20.3297,-40.2925,296.45,81,75,5.14,BR,1731284673
316,tangalle,6.024,80.7911,297.86,91,52,2.35,LK,1731284674
317,praia,14.9215,-23.5087,298.79,73,76,6.17,CV,1731284675
318,boende,-0.2167,20.8667,292.49,99,83,1.11,CD,1731284676
319,puerto deseado,-47.7503,-65.8938,286.78,35,90,9.15,AR,1731284677
320,sittwe,20.15,92.9,297.15,81,61,3.21,MM,1731284679
321,kununurra,-15.7667,128.7333,307.14,55,47,2.57,AU,1731284680
322,badr hunayn,23.7829,38.7905,299.75,64,6,1.18,SA,1731284681
323,impfondo,1.6381,18.0667,292.67,99,50,0.37,CG,1731284682
